"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"0100002","01",18,-2,-1,-1,-1,0,"N","N","03","12","21","Urban"
"0100005","01",18,5636,232000,0,3467000,6,"03","3","PK","12","32","Town"
"0100006","01",18,5652,575000,0,2817000,15,"03","3","PK","12","42","Rural"
"0100007","01",18,13952,4082000,0,2505000,17,"03","3","PK","12","13","Urban"
"0100008","01",18,11290,2882000,0,1406000,11,"03","3","PK","12","21","Urban"
"0100009","01",18,-2,-1,-1,-1,5,"N","3","KG","12","32","Town"
"0100011","01",18,1950,250000,0,554000,4,"03","3","PK","12","21","Urban"
"0100012","01",18,2427,277000,0,1192000,5,"03","3","PK","12","32","Town"
"0100013","01",18,4693,1809000,0,346000,5,"03","3","PK","12","21","Urban"
"0100015","01",18,-2,-1,-1,-1,6,"N","3","06","12","12","Urban"
"0100016","01",18,-2,-1,-1,-1,1,"N","3","05","12","12","Urban"
"0100018","01",18,-2,-1,-1,-1,0,"N","N","07","12","12","Urban"
"0100019","01",18,-2,-1,-1,-1,1,"N","3","N","N","41","Rural"
"0100020","01",18,-2,-1,-1,-1,1,"N","3","N","N","31","Town"
"0100021","01",18,-2,-1,-1,-1,1,"N","3","N","N","12","Urban"
"0100022","01",18,-2,-1,-1,-1,1,"N","3","06","12","42","Rural"
"0100023","01",18,-2,-1,-1,-1,1,"N","3","06","12","21","Urban"
"0100024","01",18,-2,-1,-1,-1,1,"N","3","06","12","41","Rural"
"0100026","01",18,-2,-1,-1,-1,1,"N","3","06","12","41","Rural"
"0100028","01",18,-2,-1,-1,-1,1,"N","3","N","N","41","Rural"
"0100030","01",18,3065,314000,0,1674000,5,"03","3","PK","12","32","Town"
"0100033","01",18,-2,-1,-1,-1,3,"N","3","PK","12","41","Rural"
"0100035","01",18,-2,-1,-1,-1,4,"N","3","N","N","42","Rural"
"0100036","01",18,-2,-1,-1,-1,1,"N","3","N","N","13","Urban"
"0100037","01",18,-2,-1,-1,-1,1,"N","3","N","N","12","Urban"
"0100038","01",18,-2,-1,-1,-1,2,"N","3","N","N","42","Rural"
"0100039","01",18,-2,-1,-1,-1,1,"N","3","N","N","32","Town"
"0100040","01",18,-2,-1,-1,-1,1,"N","3","N","N","12","Urban"
"0100041","01",18,-2,-1,-1,-1,1,"N","3","07","11","21","Urban"
"0100042","01",18,-2,-1,-1,-1,1,"N","3","N","N","13","Urban"
"0100043","01",18,-2,-1,-1,-1,1,"N","3","N","N","13","Urban"
"0100044","01",18,-2,-1,-1,-1,1,"N","3","06","12","12","Urban"
"0100060","01",18,1794,171000,0,949000,3,"03","3","PK","12","33","Town"
"0100090","01",18,1947,79000,0,1478000,7,"03","3","PK","12","13","Urban"
"0100100","01",18,2632,645000,0,606000,4,"03","3","PK","12","41","Rural"
"0100120","01",18,4284,614000,0,1726000,8,"03","2","PK","12","31","Town"
"0100175","01",18,-2,-1,-1,-1,1,"N","3","N","N","12","Urban"
"0100176","01",18,-2,-1,-1,-1,8,"N","3","N","N","21","Urban"
"0100178","01",18,-2,-1,-1,-1,2,"N","3","N","N","12","Urban"
"0100179","01",18,-2,-1,-1,-1,2,"N","3","N","N","41","Rural"
"0100180","01",18,1526,192000,0,662000,3,"03","3","PK","12","23","Urban"
"0100181","01",18,-2,-1,-1,-1,1,"N","3","N","N","32","Town"
"0100183","01",18,-2,-1,-1,-1,1,"N","3","N","N","12","Urban"
"0100184","01",18,-2,-1,-1,-1,1,"N","3","N","N","13","Urban"
"0100185","01",18,3114,712000,0,901000,4,"03","3","PK","12","21","Urban"
"0100186","01",18,-2,-1,-1,-1,1,"N","3","N","N","12","Urban"
