"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"0100002","01",8,NA,NA,NA,NA,7,NA,NA,"N","N","21","Urban"
"0100005","01",8,3849,663000,0,1356000,7,"03","3","PK","12","32","Town"
"0100006","01",8,5815,1073000,0,2191000,15,"03","3","PK","12","42","Rural"
"0100007","01",8,12607,3985000,0,1299000,16,"03","3","PK","12","13","Urban"
"0100008","01",8,8466,2605000,0,840000,10,"03","3","PK","12","21","Urban"
"0100009","01",8,NA,NA,NA,NA,4,NA,NA,"N","N","32","Town"
"0100011","01",8,1457,253000,0,457000,3,"03","3","KG","12","21","Urban"
"0100012","01",8,2292,559000,0,701000,5,"03","3","PK","12","32","Town"
"0100013","01",8,4116,1407000,0,277000,4,"03","3","KG","12","21","Urban"
"0100015","01",8,NA,NA,NA,NA,5,NA,NA,"N","N","12","Urban"
"0100016","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100018","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100019","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100020","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","31","Town"
"0100021","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100022","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","42","Rural"
"0100023","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","21","Urban"
"0100024","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100026","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100028","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100029","01",8,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100030","01",8,3443,580000,0,918000,5,"03","3","KG","12","32","Town"
"0100032","01",8,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100033","01",8,NA,NA,NA,NA,5,NA,NA,"N","N","41","Rural"
"0100035","01",8,NA,NA,NA,NA,3,NA,NA,"N","N","42","Rural"
"0100036","01",8,NA,NA,NA,NA,0,NA,NA,"N","N","13","Urban"
"0100037","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100038","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","42","Rural"
"0100039","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","32","Town"
"0100040","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100041","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","21","Urban"
"0100042","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","13","Urban"
"0100043","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","13","Urban"
"0100044","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100045","01",8,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100046","01",8,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100060","01",8,1678,199000,0,533000,3,"03","3","KG","12","33","Town"
"0100090","01",8,2374,201000,0,1170000,9,"03","3","PK","12","13","Urban"
"0100100","01",8,2411,751000,0,298000,4,"03","3","PK","12","41","Rural"
"0100120","01",8,3071,745000,0,737000,7,"03","3","KG","12","31","Town"
"0100173","01",8,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100174","01",8,NA,NA,NA,NA,1,NA,NA,"N","N",NA,NA
"0100175","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100176","01",8,NA,NA,NA,NA,4,NA,NA,"N","N","21","Urban"
"0100178","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100179","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","41","Rural"
"0100180","01",8,1606,290000,0,539000,4,"03","3","PK","12","23","Urban"
"0100181","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","32","Town"
"0100183","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","12","Urban"
"0100184","01",8,NA,NA,NA,NA,1,NA,NA,"N","N","13","Urban"
"0100185","01",8,1535,213000,0,433000,3,"03","3","KG","09","21","Urban"
"0100186","01",8,NA,NA,NA,NA,0,NA,NA,"N","N","12","Urban"
"0100187","01",8,NA,NA,NA,NA,0,NA,NA,"N","N","12","Urban"
"0100210","01",8,5993,1351000,0,873000,11,"03","3","KG","12","13","Urban"
"0100240","01",8,9923,1897000,0,2103000,14,"03","3","PK","12","41","Rural"
"0100270","01",8,27120,3884000,0,5482000,47,"03","3","PK","12","41","Rural"
"0100300","01",8,1097,54000,0,632000,4,"03","3","PK","12","43","Rural"
"0100330","01",8,4344,489000,0,2080000,9,"03","3","PK","12","21","Urban"
"0100360","01",8,3565,670000,0,1211000,10,"03","3","KG","12","32","Town"
"0100390","01",8,27440,1745000,0,10634000,83,"03","3","PK","12","12","Urban"
"0100420","01",8,8398,1334000,0,1934000,17,"03","3","PK","12","42","Rural"
"0100450","01",8,1195,139000,0,166000,3,"03","3","KG","12","32","Town"
"0100480","01",8,1616,147000,0,886000,5,"03","3","KG","12","32","Town"
"0100510","01",8,3347,536000,0,1428000,9,"03","3","PK","12","32","Town"
"0100540","01",8,9345,1520000,0,2549000,19,"03","3","PK","12","41","Rural"
"0100600","01",8,4135,496000,0,1471000,11,"03","3","PK","12","32","Town"
"0100630","01",8,4084,950000,0,1238000,9,"03","3","PK","12","42","Rural"
"0100660","01",8,7617,1124000,0,2343000,13,"03","3","PK","12","42","Rural"
"0100690","01",8,1886,206000,0,889000,5,"03","3","KG","12","43","Rural"
"0100720","01",8,3463,643000,0,1358000,8,"03","3","PK","12","43","Rural"
"0100750","01",8,2130,321000,0,520000,4,"03","3","KG","12","42","Rural"
"0100780","01",8,2657,521000,0,814000,8,"03","3","PK","12","42","Rural"
"0100810","01",8,2089,408000,0,587000,4,"03","3","PK","12","42","Rural"
"0100840","01",8,2955,460000,0,998000,9,"03","3","PK","12","41","Rural"
"0100870","01",8,1662,146000,0,904000,7,"03","3","PK","12","41","Rural"
"0100900","01",8,1349,165000,0,568000,4,"03","3","KG","12","43","Rural"
"0100930","01",8,3094,526000,0,997000,9,"03","3","PK","12","42","Rural"
"0100960","01",8,2487,342000,0,785000,4,"03","3","PK","12","43","Rural"
"0100990","01",8,2868,871000,0,499000,7,"03","3","KG","12","32","Town"
"0101020","01",8,9937,1822000,0,2892000,29,"03","3","PK","12","42","Rural"
"0101050","01",8,2850,489000,0,773000,7,"03","3","KG","12","42","Rural"
"0101080","01",8,1230,189000,0,418000,3,"03","3","KG","12","32","Town"
"0101110","01",8,4154,389000,0,1945000,14,"03","3","KG","12","42","Rural"
"0101140","01",8,8961,1500000,0,2869000,15,"03","3","KG","12","42","Rural"
"0101170","01",8,8821,1666000,0,2674000,19,"03","3","PK","12","13","Urban"
"0101200","01",8,2437,401000,0,674000,4,"03","3","PK","12","33","Town"
"0101230","01",8,9098,425000,0,3149000,21,"03","3","PK","12","13","Urban"
"0101260","01",8,816,105000,0,326000,3,"03","3","KG","12","43","Rural"
"0101290","01",8,10817,1705000,0,2491000,17,"03","3","PK","12","21","Urban"
"0101320","01",8,6222,1278000,0,1241000,11,"03","3","PK","12","32","Town"
"0101350","01",8,4679,616000,0,1876000,14,"03","3","PK","12","32","Town"
"0101380","01",8,9199,1590000,0,2107000,23,"03","3","PK","12","23","Urban"
"0101410","01",8,2867,438000,0,1008000,6,"03","3","PK","12","32","Town"
"0101440","01",8,2307,239000,0,843000,7,"03","3","KG","12","21","Urban"
"0101470","01",8,2512,525000,0,762000,6,"03","3","PK","12","42","Rural"
"0101530","01",8,4169,507000,0,1425000,9,"03","3","PK","12","13","Urban"
"0101560","01",8,2968,635000,0,1005000,4,"03","3","PK","12","32","Town"
"0101590","01",8,3315,707000,0,1250000,9,"03","3","PK","12","42","Rural"
"0101620","01",8,5480,733000,0,2208000,16,"03","3","PK","12","13","Urban"
"0101640","01",8,1248,169000,0,334000,3,"03","3","KG","12","32","Town"
"0101660","01",8,2714,499000,0,909000,9,"03","3","KG","12","42","Rural"
"0101680","01",8,1427,75000,0,807000,5,"03","3","KG","12","42","Rural"
"0101690","01",8,1878,458000,0,416000,4,"03","3","KG","12","32","Town"
"0101710","01",8,3011,245000,0,1165000,10,"03","3","PK","12","31","Town"
"0101720","01",8,1639,320000,0,475000,4,"03","3","PK","12","41","Rural"
"0101730","01",8,3200,755000,0,463000,6,"03","3","PK","12","23","Urban"
"0101740","01",8,2765,420000,0,998000,9,"03","3","PK","12","42","Rural"
"0101760","01",8,3494,1032000,0,521000,5,"03","3","PK","12","21","Urban"
"0101770","01",8,6347,1177000,0,2102000,11,"03","3","PK","12","41","Rural"
"0101800","01",8,23205,4117000,0,5377000,53,"03","3","PK","12","12","Urban"
"0101830","01",8,5976,1218000,0,2074000,19,"03","3","PK","12","42","Rural"
"0101860","01",8,1698,402000,0,3e+05,2,"03","3","KG","12","13","Urban"
"0101890","01",8,2720,511000,0,564000,6,"03","3","PK","12","32","Town"
"0101920","01",8,36174,7562000,0,8845000,59,"03","3","KG","12","21","Urban"
"0101950","01",8,2346,552000,0,688000,5,"03","3","KG","12","43","Rural"
"0101980","01",8,895,49000,0,418000,3,"03","3","KG","12","32","Town"
"0102010","01",8,9011,1776000,0,1953000,13,"03","3","PK","12","42","Rural"
"0102040","01",8,5419,1029000,0,1466000,16,"03","3","KG","12","42","Rural"
"0102070","01",8,9742,1542000,0,2379000,12,"03","3","PK","12","21","Urban"
"0102100","01",8,8702,2326000,0,1938000,13,"03","3","PK","12","42","Rural"
"0102130","01",8,528,57000,0,266000,4,"03","3","PK","12","43","Rural"
"0102160","01",8,1953,256000,0,1352000,9,"03","3","KG","12","42","Rural"
"0102190","01",8,2925,229000,0,1577000,7,"03","3","PK","12","32","Town"
"0102220","01",8,19785,5602000,0,3225000,28,"03","3","PK","12","21","Urban"
"0102250","01",8,1565,201000,0,684000,5,"03","3","KG","12","43","Rural"
"0102310","01",8,3781,703000,0,1002000,11,"03","3","PK","12","43","Rural"
"0102350","01",8,1245,173000,0,510000,4,"03","3","KG","12","21","Urban"
"0102370","01",8,62531,5202000,0,21636000,113,"03","3","PK","12","12","Urban"
"0102400","01",8,4214,368000,0,1368000,12,"03","3","PK","12","43","Rural"
"0102430","01",8,31307,2893000,0,11468000,63,"03","3","PK","12","12","Urban"
"0102480","01",8,7760,1744000,0,1914000,20,"03","3","PK","12","42","Rural"
"0102490","01",8,4367,1910000,0,0,6,"03","3","KG","12","21","Urban"
"0102520","01",8,2768,859000,0,441000,7,"03","3","PK","12","13","Urban"
"0102550","01",8,1408,305000,0,292000,2,"03","3","KG","12","41","Rural"
"0102580","01",8,4172,619000,0,1480000,9,"03","3","PK","12","13","Urban"
"0102610","01",8,1393,219000,0,384000,3,"03","3","PK","12","41","Rural"
"0102635","01",8,4024,869000,0,1012000,7,"03","3","KG","12","13","Urban"
"0102640","01",8,2505,367000,0,876000,7,"03","3","KG","12","31","Town"
"0102650","01",8,4152,827000,0,1035000,8,"03","3","PK","12","32","Town"
"0102670","01",8,1956,209000,0,1147000,5,"03","3","KG","12","43","Rural"
"0102700","01",8,6022,788000,0,2507000,11,"03","3","PK","12","21","Urban"
"0102730","01",8,3032,387000,0,1093000,10,"03","3","PK","12","42","Rural"
"0102760","01",8,1098,165000,0,327000,3,"03","3","KG","12","31","Town"
"0102790","01",8,2199,229000,0,957000,6,"03","3","KG","12","42","Rural"
"0102820","01",8,2323,327000,0,694000,6,"03","3","KG","12","43","Rural"
"0102850","01",8,1533,209000,0,495000,4,"03","3","KG","12","32","Town"
