"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"4620850","46",7,126,38000,0,17000,3,"03","3","KG","12","43","Rural"
"4621300","46",7,22,1000,0,1000,2,"01","3","KG","06","43","Rural"
"4621340","46",7,720,173000,2000,114000,3,"03","3","PK","12","42","Rural"
"4621390","46",7,281,72000,1000,52000,5,"03","3","PK","12","43","Rural"
"4621400","46",7,204,39000,1000,29000,3,"03","3","KG","12","43","Rural"
"4621420","46",7,185,44000,1000,14000,3,"03","3","PK","12","43","Rural"
"4622410","46",7,275,48000,1000,39000,3,"03","3","KG","12","43","Rural"
"4622500","46",7,231,50000,1000,34000,3,"03","3","PK","12","42","Rural"
"4622560","46",7,175,49000,1000,31000,3,"03","3","KG","12","43","Rural"
"4622940","46",7,212,35000,1000,42000,4,"03","3","KG","12","43","Rural"
"4623040","46",7,-2,0,0,0,1,"06","3","PK","08",NA,NA
"4624030","46",7,341,55000,5000,68000,7,"03","3","PK","12","43","Rural"
"4624390","46",7,625,162000,2000,130000,4,"03","3","KG","12","43","Rural"
"4624540","46",7,236,38000,1000,35000,3,"03","3","PK","12","42","Rural"
"4624850","46",7,493,101000,1000,74000,6,"03","3","KG","12","33","Town"
"4625500","46",7,367,103000,1000,39000,5,"03","3","KG","12","43","Rural"
"4626370","46",7,540,184000,1000,56000,3,"03","3","PK","12","42","Rural"
"4626490","46",7,250,45000,1000,44000,3,"03","3","PK","12","42","Rural"
"4626520","46",7,NA,NA,NA,NA,-2,NA,NA,"N","N",NA,NA
"4626970","46",7,257,53000,1000,19000,3,"03","3","KG","12","43","Rural"
"4629340","46",7,181,54000,1000,46000,3,"03","3","PK","12",NA,NA
"4629880","46",7,380,73000,1000,103000,4,"03","3","PK","12","43","Rural"
"4630490","46",7,283,46000,0,22000,7,"03","3","PK","12","43","Rural"
"4630800","46",7,642,120000,2000,126000,3,"03","3","KG","12","43","Rural"
"4631350","46",7,1687,539000,5000,158000,4,"03","3","PK","12","41","Rural"
