"LEAID","FIPST","YEAR","V33","A09","C10","C25","OPERATIONAL_SCHOOLS","SCHLEV","AGCHRT","GSLO","GSHI","LOCALE","URBANICITY"
"0100002","01",12,-1,-1,-1,-1,7,"N","3","03","12","21","Urban"
"0100005","01",12,4422,5e+05,0,1813000,6,"03","3","PK","12","32","Town"
"0100006","01",12,5700,678000,0,2602000,16,"03","3","PK","12","42","Rural"
"0100007","01",12,13764,3666000,0,2042000,17,"03","3","PK","12","13","Urban"
"0100008","01",12,9375,2422000,0,1146000,11,"03","3","PK","12","21","Urban"
"0100009","01",12,-1,-2,-2,-2,4,"N","3","KG","12","32","Town"
"0100011","01",12,1798,295000,0,580000,3,"03","3","KG","12","21","Urban"
"0100012","01",12,2215,413000,0,879000,5,"03","3","PK","12","32","Town"
"0100013","01",12,4233,1454000,0,317000,4,"03","3","KG","12","21","Urban"
"0100015","01",12,-1,-2,-2,-2,4,"N","3","06","12","12","Urban"
"0100016","01",12,-1,-2,-2,-2,1,"N","3","05","12","12","Urban"
"0100018","01",12,-1,-1,-1,-1,1,"N","3","07","12","12","Urban"
"0100019","01",12,-2,-2,-2,-2,1,"N","3","N","N","41","Rural"
"0100020","01",12,-2,-2,-2,-2,1,"N","3","N","N","31","Town"
"0100021","01",12,-2,-2,-2,-2,0,"N","3","N","N","12","Urban"
"0100022","01",12,-2,-2,-2,-2,0,"N","3","N","N","42","Rural"
"0100023","01",12,-2,-2,-2,-2,0,"N","3","N","N","21","Urban"
"0100024","01",12,-2,-2,-2,-2,0,"N","3","N","N","41","Rural"
"0100028","01",12,-2,-2,-2,-2,1,"N","3","N","N","41","Rural"
"0100029","01",12,-2,-2,-2,-2,0,"N","3","N","N",NA,NA
"0100030","01",12,3174,401000,0,1168000,5,"03","3","KG","12","32","Town"
"0100032","01",12,-2,-2,-2,-2,0,"N","3","N","N",NA,NA
"0100033","01",12,-2,-2,-2,-2,4,"N","3","N","N","41","Rural"
"0100035","01",12,-2,-2,-2,-2,1,"N","3","N","N","42","Rural"
"0100036","01",12,-2,-2,-2,-2,0,"N","N","N","N","13","Urban"
"0100037","01",12,-2,-2,-2,-2,0,"N","3","N","N","12","Urban"
"0100038","01",12,-2,-2,-2,-2,1,"N","3","N","N","42","Rural"
"0100039","01",12,-2,-2,-2,-2,0,"N","3","N","N","32","Town"
"0100040","01",12,-2,-2,-2,-2,1,"N","3","N","N","12","Urban"
"0100041","01",12,-2,-2,-2,-2,1,"N","3","N","N","21","Urban"
"0100042","01",12,-2,-2,-2,-2,0,"N","3","N","N","13","Urban"
"0100043","01",12,-2,-2,-2,-2,0,"N","3","N","N","13","Urban"
"0100044","01",12,-1,-2,-2,-2,1,"N","3","06","12","12","Urban"
"0100045","01",12,-2,-2,-2,-2,1,"N","3","N","N",NA,NA
"0100046","01",12,-2,-2,-2,-2,0,"N","3","N","N",NA,NA
"0100060","01",12,1756,165000,0,591000,3,"03","3","KG","12","33","Town"
"0100090","01",12,2051,146000,0,1228000,9,"03","3","PK","12","13","Urban"
"0100100","01",12,2543,749000,0,511000,4,"03","3","PK","12","41","Rural"
"0100120","01",12,3205,665000,0,968000,7,"03","3","KG","12","31","Town"
"0100173","01",12,-2,-2,-2,-2,1,"N","3","N","N",NA,NA
"0100174","01",12,-2,-2,-2,-2,1,"N","3","N","N",NA,NA
"0100175","01",12,-2,-2,-2,-2,1,"N","3","N","N","12","Urban"
"0100176","01",12,-2,-2,-2,-2,4,"N","3","N","N","21","Urban"
"0100178","01",12,-2,-2,-2,-2,1,"N","3","N","N","12","Urban"
"0100179","01",12,-2,-2,-2,-2,1,"N","3","N","N","41","Rural"
"0100180","01",12,1776,248000,0,7e+05,3,"03","3","PK","12","23","Urban"
"0100181","01",12,-2,-2,-2,-2,1,"N","3","N","N","32","Town"
"0100183","01",12,-2,-2,-2,-2,1,"N","3","N","N","12","Urban"
"0100184","01",12,-2,-2,-2,-2,1,"N","3","N","N","13","Urban"
"0100185","01",12,2526,459000,0,690000,3,"03","3","KG","12","21","Urban"
"0100186","01",12,-2,-2,-2,-2,0,"N","N","N","N","12","Urban"
"0100187","01",12,-2,-2,-2,-2,0,"N","N","N","N","12","Urban"
"0100188","01",12,864,30000,0,449000,2,"03","3","PK","12","21","Urban"
"0100189","01",12,1463,240000,0,291000,2,"03","3","PK","12","21","Urban"
"0100190","01",12,-2,205000,0,226000,0,"03","N","KG","12","21","Urban"
"0100210","01",12,7422,1450000,0,1326000,11,"03","3","KG","12","13","Urban"
"0100240","01",12,9717,2044000,0,2567000,15,"03","3","KG","12","41","Rural"
"0100270","01",12,29419,3709000,0,7168000,47,"03","3","PK","12","41","Rural"
"0100300","01",12,1061,42000,0,698000,4,"03","3","PK","12","43","Rural"
"0100330","01",12,4068,266000,0,2565000,9,"03","3","PK","12","21","Urban"
"0100360","01",12,3475,559000,0,1318000,10,"03","3","KG","12","32","Town"
"0100390","01",12,25104,2181000,0,11721000,83,"03","3","PK","12","12","Urban"
"0100420","01",12,8341,1026000,0,2601000,17,"03","3","PK","12","42","Rural"
"0100450","01",12,1162,112000,0,219000,3,"03","3","KG","12","32","Town"
"0100480","01",12,1524,137000,0,898000,5,"03","3","KG","12","32","Town"
"0100510","01",12,3245,460000,0,1613000,7,"03","3","PK","12","32","Town"
"0100540","01",12,9300,1350000,0,3070000,19,"03","3","PK","12","41","Rural"
"0100600","01",12,3891,535000,0,1709000,11,"03","3","PK","12","32","Town"
"0100630","01",12,4123,769000,0,1616000,8,"03","3","PK","12","42","Rural"
